"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
31330,"NEWARK, NJ",0,"2/14/2004","3549","DOLLAR SAVINGS BANK",13408,10909,"FAILURE"
26838,"TALLAHASSEE, FL",0,"3/12/2004","3550","GUARANTY NATIONAL BANK",71280,65614,"FAILURE"
26778,"WHITE PLAINS, NY",919,"3/19/2004","3551","RELIANCE BANK",28637,27881,"FAILURE"
1249,"EPHRAIM, UT",2998,"6/25/2004","3552","BANK OF EPHRAIM",56774,52329,"FAILURE"
35353,"PITTSBURGH, PA",9438,"2/2/2007","3553","METROPOLITAN SAVINGS BANK",15760,14540,"FAILURE"
32575,"ALPHARETTA, GA",119608,"9/28/2007","3554","NETBANK",2473806,2290046,"FAILURE"
16848,"LAKEVIEW, OH",28394,"10/4/2007","3555","MIAMI VALLEY BANK",125362,119601,"FAILURE"
24660,"KANSAS CITY, MO",7157,"1/25/2008","3556","DOUGLASS NATIONAL BANK",52824,50250,"FAILURE"
1971,"HUME, MO",3755,"3/7/2008","3557","HUME BANK",18682,13566,"FAILURE"
33901,"BENTONVILLE, AR",1025204,"5/9/2008","3558","ANB FINANCIAL NATIONAL ASSOCIATION",1895545,1815691,"FAILURE"
12736,"STAPLES, MN",10305,"5/30/2008","3559","FIRST INTEGRITY BANK, N.A.",52916,50178,"FAILURE"
29730,"PASADENA, CA",11981360,"7/11/2008","3560","INDYMAC BANK F.S.B",30698512,18941727,"FAILURE"
57961,"NEWPORT BEACH, CA",92139,"7/25/2008","3561","FIRST HERITAGE BANK N.A.",255376,234812,"FAILURE"
27011,"RENO, NV",709912,"7/25/2008","3562","FIRST NATIONAL BANK OF NEVADA",3411145,3038053,"FAILURE"
57523,"BRADENTON, FL",95555,"8/1/2008","3563","FIRST PRIORITY BANK",258610,226698,"FAILURE"
22728,"TOPEKA, KS",334277,"8/22/2008","3564","THE COLUMBIAN BANK AND TRUST COMPANY",735071,620354,"FAILURE"
35469,"ALPHARETTA, GA",465942,"8/29/2008","3565","INTEGRITY BANK",1107514,962456,"FAILURE"
34194,"HENDERSON, NV",722104,"9/5/2008","3566","SILVER STATE BANK",1957120,1733091,"FAILURE"
6782,"NORTHFORK, WV",38290,"9/19/2008","3567","AMERIBANK, INC.",103965,100901,"FAILURE"
32633,"HENDERSON, NV",0,"9/25/2008","3568","WASHINGTON MUTUAL BANK",307021614,188260793,"FAILURE"
